container_name,pod_name,namespace,cluster_name,container_image,container_state,container_started_at,image_age_days,last_updated
consul-client,fadvusgw14-worker-lowpriority-121,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/consul:1.12.9,running,2024-07-22 12:30:28+00:00,396,2024-07-22 15:54:34+00:00
consul-client,fadvusgw14-worker-lowpriority-122,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/consul:1.12.9,running,2024-07-22 12:30:28+00:00,396,2024-07-22 15:54:34+00:00
scalyr-agent,scalyr-agent-2-m86gx,scalyr,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/scalyr-agent/scalyr-k8s-agent-fips:2.2.9a,running,2024-07-22 12:30:25+00:00,174,2024-07-22 15:54:34+00:00
consul-client,fadvusgw14-worker-lowpriority-123,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/consul:1.12.9,running,2024-07-22 12:30:23+00:00,396,2024-07-22 15:54:34+00:00
consul-client,fadvusgw14-worker-lowpriority-120,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/consul:1.12.9,running,2024-07-22 12:30:22+00:00,396,2024-07-22 15:54:34+00:00
liveness-probe,ebs-csi-node-pfrrm,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/livenessprobe:v2.12.0-eks-1-29-5,running,2024-07-22 12:30:21+00:00,138,2024-07-22 15:54:34+00:00
ebs-plugin,ebs-csi-node-pfrrm,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/aws-ebs-csi-driver:v1.28.0,running,2024-07-22 12:30:20+00:00,138,2024-07-22 15:54:34+00:00
node-driver-registrar,ebs-csi-node-pfrrm,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-driver-registrar:v2.10.0-eks-1-29-5,running,2024-07-22 12:30:20+00:00,138,2024-07-22 15:54:34+00:00
consul-client,fadvusgw14-worker-lowpriority-117,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/consul:1.12.9,running,2024-07-22 12:30:15+00:00,396,2024-07-22 15:54:34+00:00
consul-client,fadvusgw14-worker-lowpriority-119,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/consul:1.12.9,running,2024-07-22 12:30:15+00:00,396,2024-07-22 15:54:34+00:00
aws-node,aws-node-7qc79,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/amazon-k8s-cni:v1.16.2,running,2024-07-22 12:30:15+00:00,138,2024-07-22 15:54:34+00:00
scalyr-agent,scalyr-agent-2-pgzdm,scalyr,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/scalyr-agent/scalyr-k8s-agent-fips:2.2.9a,running,2024-07-22 12:30:13+00:00,174,2024-07-22 15:54:34+00:00
agent,agent-5pl7f,sentinelone,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/cws-agents/release/23.4.2/release/s1agent:23.4.2.14,running,2024-07-22 12:30:12+00:00,126,2024-07-22 15:54:34+00:00
consul-client,fadvusgw14-worker-lowpriority-118,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/consul:1.12.9,running,2024-07-22 12:30:07+00:00,396,2024-07-22 15:54:34+00:00
liveness-probe,ebs-csi-node-llklj,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/livenessprobe:v2.12.0-eks-1-29-5,running,2024-07-22 12:30:07+00:00,138,2024-07-22 15:54:34+00:00
kube-proxy,kube-proxy-bcxpb,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/kube-proxy:v1.22.17,running,2024-07-22 12:30:07+00:00,397,2024-07-22 15:54:34+00:00
node-exporter,prometheus-node-exporter-v855n,prometheus,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-exporter:v1.5.0,running,2024-07-22 12:30:07+00:00,396,2024-07-22 15:54:34+00:00
node-driver-registrar,ebs-csi-node-llklj,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-driver-registrar:v2.10.0-eks-1-29-5,running,2024-07-22 12:30:06+00:00,138,2024-07-22 15:54:34+00:00
ebs-plugin,ebs-csi-node-llklj,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/aws-ebs-csi-driver:v1.28.0,running,2024-07-22 12:30:05+00:00,138,2024-07-22 15:54:34+00:00
scalyr-agent,scalyr-agent-2-4v6b2,scalyr,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/scalyr-agent/scalyr-k8s-agent-fips:2.2.9a,running,2024-07-22 12:30:04+00:00,174,2024-07-22 15:54:34+00:00
scalyr-agent,scalyr-agent-2-llcwz,scalyr,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/scalyr-agent/scalyr-k8s-agent-fips:2.2.9a,running,2024-07-22 12:30:03+00:00,174,2024-07-22 15:54:34+00:00
node-driver-registrar,ebs-csi-node-6hwhk,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-driver-registrar:v2.10.0-eks-1-29-5,running,2024-07-22 12:30:02+00:00,138,2024-07-22 15:54:34+00:00
liveness-probe,ebs-csi-node-6hwhk,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/livenessprobe:v2.12.0-eks-1-29-5,running,2024-07-22 12:30:02+00:00,138,2024-07-22 15:54:34+00:00
liveness-probe,ebs-csi-node-djd9w,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/livenessprobe:v2.12.0-eks-1-29-5,running,2024-07-22 12:30:02+00:00,138,2024-07-22 15:54:34+00:00
ebs-plugin,ebs-csi-node-6hwhk,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/aws-ebs-csi-driver:v1.28.0,running,2024-07-22 12:30:01+00:00,138,2024-07-22 15:54:34+00:00
node-driver-registrar,ebs-csi-node-djd9w,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-driver-registrar:v2.10.0-eks-1-29-5,running,2024-07-22 12:30:01+00:00,138,2024-07-22 15:54:34+00:00
aws-node,aws-node-q84wz,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/amazon-k8s-cni:v1.16.2,running,2024-07-22 12:30:00+00:00,138,2024-07-22 15:54:34+00:00
